"Stock","EntryDate","Entry","ExitDate","Exit","Reason","RetPct","HoldDays","AcctPct"
"CATL","2025-05-22","268.49","2025-05-26","246.59","STOP","-8.16","2","-3.65"
"Seres","2025-05-22","131.9","2025-06-10","132","MA20","0.08","12","0.07"
"SMIC","2025-06-26","88.39","2025-08-01","88.29","MA20","-0.11","26","-0.06"
"CATL","2025-06-26","246.57","2025-07-31","255.31","MA20","3.54","25","1.77"
"Seres","2025-07-09","138.12","2025-07-11","130.88","STOP","-5.24","2","-4.32"
"GigaDevice","2025-07-31","120.25","2025-07-31","120.38","STOP","0.11","0","-0.11"
"Seres","2025-08-20","129.39","2025-10-31","154.39","MA20","19.32","46","23.92"
"GigaDevice","2025-08-22","134.37","2025-11-05","217.64","MA20","61.97","47","54.96"
"SMIC","2025-08-25","106","2025-10-17","121.98","MA20","15.08","27","2.51"
"BYD","2025-09-01","108.14","2025-09-03","106.85","STOP","-1.19","2","-6.79"
"CATL","2025-09-01","298.19","2025-10-14","349.69","MA20","17.27","25","3.61"
"CATL","2025-11-14","398.69","2025-11-18","376.69","STOP","-5.52","2","-2"
"GigaDevice","2025-12-19","219.25","2026-02-04","281.58","MA20","28.43","31","7.56"
"SMIC","2025-12-23","120.5","2026-01-20","122.18","MA20","1.39","18","0.57"
"BYD","2025-12-29","100.14","2026-01-14","95.74","MA20","-4.39","10","-1.68"
"Seres","2026-01-08","125.49","2026-01-13","121.9","STOP","-2.86","3","-2.06"
"BYD","2026-03-03","96.03","2026-04-02","101.29","MA20","5.48","22","1.37"
"CATL","2026-03-11","371.27","2026-04-03","378.15","MA20","1.85","17","1.05"
"CATL","2026-04-17","447.65","2026-04-20","424.19","STOP","-5.24","1","-2.05"
"SMIC","2026-04-27","113.25","2026-06-05","127.4","MA20","12.49","26","3.28"
"SMIC","2026-07-10","173","2026-07-16","151.8","STOP","-12.25","4","-2.04"
"Seres","2026-08-03","61.5","2026-08-06","57.11","STOP","-7.14","3","-2.96"
